0.000000000000000000e+00 3.241313193385525482e-01
8.517645089584206630e+00 1.845643719589526777e+00
1.623720889996237204e+00 2.910251234820271371e+00
1.286924818108026614e+01 3.826099314719869415e+00
1.817616982401723646e+01 4.655536721746078577e+00
1.233339209402911152e+01 5.425660508915483682e+00
2.177622054412167074e+01 5.535129191087542644e+00
2.457602173690377612e+01 5.242338100374049681e+00
2.448679983957896056e+01 4.902672492943741744e+00
3.344102121252131354e+01 4.523027090696261965e+00
